Beta (No) | Beta-value |         95% CI
        0 |      0.000 | [  -1.505,   1.505]
        1 |    -63.056 | [ -66.072, -60.040]
        2 |   -442.189 | [-453.756, -430.622]
        3 |   -181.190 | [-184.636, -177.744]
        4 |    631.277 | [ 608.399,  654.155]
        5 |   1279.978 | [ 1246.288,  1313.668]
        6 |    468.070 | [ 453.692,  482.448]
        7 |    -30.472 | [ -45.915, -15.030]
        8 |  -1539.474 | [-1589.179, -1489.769]
        9 |  -1756.019 | [-1803.959, -1708.080]
       10 |   -422.259 | [-441.005, -403.514]
       11 |   -299.735 | [-316.979, -282.490]
       12 |    358.617 | [ 327.915,  389.319]
       13 |   1493.456 | [ 1448.822,  1538.091]
       14 |   1142.904 | [ 1110.714,  1175.095]
       15 |    141.347 | [ 132.936,  149.757]
       16 |    133.459 | [ 125.828,  141.091]
       17 |     36.508 | [  31.144,  41.872]
       18 |   -207.103 | [-224.304, -189.902]
       19 |   -519.423 | [-536.499, -502.348]
       20 |   -280.544 | [-288.342, -272.746]
----------------
Beta (No) | Beta-value |         95% CI
        0 |      0.000 | [  -8.437,   8.437]
        1 |     -0.348 | [ -17.253,  16.558]
        2 |     -0.336 | [ -65.163,  64.492]
        3 |     -0.247 | [ -19.561,  19.066]
        4 |     -0.066 | [-128.288,  128.155]
        5 |     -0.426 | [-189.247,  188.395]
        6 |     -0.077 | [ -80.661,  80.507]
        7 |      0.217 | [ -86.333,  86.766]
        8 |     -0.228 | [-278.807,  278.352]
        9 |     -0.188 | [-268.875,  268.500]
       10 |     -0.025 | [-105.086,  105.035]
       11 |      0.384 | [ -96.265,  97.032]
       12 |      0.017 | [-172.057,  172.092]
       13 |     -0.170 | [-250.331,  249.991]
       14 |      0.065 | [-180.351,  180.482]
       15 |     -0.059 | [ -47.197,  47.079]
       16 |      0.442 | [ -42.327,  43.212]
       17 |      0.152 | [ -29.912,  30.216]
       18 |     -0.010 | [ -96.418,  96.398]
       19 |     -0.059 | [ -95.763,  95.645]
       20 |      0.249 | [ -43.457,  43.954]
MSE: 0.056341845914535386
R2_score: 0.5651739236274756
